symbol_config,trade_num,side,entry_date,entry_price,exit_date,exit_price,pnl_pct,exit_reason
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],1,long,2022-03-04,39137.61,2022-04-11,39521.9,0.98,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],2,long,2023-01-19,21086.79,2023-03-04,22353.35,6.01,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],3,long,2023-03-14,24746.07,2023-05-01,28091.57,13.52,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],4,long,2023-05-05,29534.38,2023-05-07,28454.98,-3.65,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],5,long,2023-07-01,30590.08,2023-07-24,29176.92,-4.62,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],6,long,2023-10-21,29918.41,2024-01-14,41796.27,39.7,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],7,long,2024-01-16,43154.95,2024-01-17,42742.65,-0.96,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],8,long,2024-02-08,45301.57,2024-04-13,63821.47,40.88,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],9,long,2024-06-03,68802.52,2024-06-11,67316.53,-2.16,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],10,long,2024-10-16,67628.96,2024-12-29,93563.35,38.35,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],11,long,2025-01-04,98209.85,2025-01-07,96941.98,-1.29,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],12,long,2025-01-23,103926.36,2025-01-28,101290.0,-2.54,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],13,long,2025-05-03,95861.33,2025-06-20,103317.8,7.78,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],14,long,2025-06-24,106141.0,2025-07-01,105711.78,-0.4,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],15,long,2025-07-02,108888.32,2025-08-02,112542.74,3.36,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],16,long,2025-08-03,114215.73,2025-08-18,116286.76,1.81,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI 100%eq],17,long,2025-10-07,121393.95,2025-10-10,112980.28,-6.93,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],1,long,2022-03-04,39137.61,2022-04-11,39521.9,0.98,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],2,long,2023-01-19,21086.79,2023-03-04,22353.35,6.01,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],3,long,2023-03-14,24746.07,2023-05-01,28091.57,13.52,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],4,long,2023-05-05,29534.38,2023-05-07,28454.98,-3.65,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],5,long,2023-07-01,30590.08,2023-07-24,29176.92,-4.62,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],6,long,2023-10-21,29918.41,2024-01-14,41796.27,39.7,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],7,long,2024-01-16,43154.95,2024-01-17,42742.65,-0.96,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],8,long,2024-02-08,45301.57,2024-04-13,63821.47,40.88,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],9,long,2024-06-03,68802.52,2024-06-11,67316.53,-2.16,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],10,long,2024-10-16,67628.96,2024-12-29,93563.35,38.35,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],11,long,2025-01-04,98209.85,2025-01-07,96941.98,-1.29,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],12,long,2025-01-23,103926.36,2025-01-28,101290.0,-2.54,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],13,long,2025-05-03,95861.33,2025-06-20,103317.8,7.78,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],14,long,2025-06-24,106141.0,2025-07-01,105711.78,-0.4,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],15,long,2025-07-02,108888.32,2025-08-02,112542.74,3.36,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],16,long,2025-08-03,114215.73,2025-08-18,116286.76,1.81,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI ATR_SL(1.5x) 100%eq],17,long,2025-10-07,121393.95,2025-10-10,116749.53,-3.83,ATR_SL
